OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus
Otu002875,16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Paracraurococcus
Otu002876,6,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu002878,6,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002879,7,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002880,6,Bacteria,Chloroflexi,Chloroflexi,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon
Otu002882,8,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002884,8,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu002885,13,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu002889,9,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobineae_incertae_sedis,Aciditerrimonas
Otu002897,10,Bacteria,Nitrospira,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
Otu002903,6,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4
Otu002904,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002905,93,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002911,14,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002931,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002933,8,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Otu002934,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002940,8,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Zavarzinella
Otu002948,8,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002949,5,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia
Otu002950,30,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu002962,6,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu002963,15,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002968,8,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002974,6,Bacteria,Acidobacteria,Acidobacteria_Gp18,Acidobacteria_Gp18_order_incertae_sedis,Acidobacteria_Gp18_family_incertae_sedis,Gp18
Otu002977,8,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002978,7,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4
Otu002983,6,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu002984,15,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002985,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002990,22,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002996,9,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera
Otu002998,9,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Hymenobacter
Otu003001,7,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu003003,7,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,unclassified
Otu003007,7,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified,unclassified
Otu003008,9,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu003014,11,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu003019,12,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu003021,15,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003026,11,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003027,16,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu003030,16,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu003031,12,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003039,4,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003042,6,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu003047,5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Otu003048,16,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003054,24,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003056,4,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003060,12,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003064,30,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,unclassified
Otu003075,13,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003078,7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified
Otu003081,9,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003084,35,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003086,11,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu003087,5,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified
Otu003088,17,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003102,21,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,unclassified
Otu003103,8,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,unclassified
Otu003104,12,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu003106,21,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu003107,10,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu003111,12,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,unclassified
Otu003112,16,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003114,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu003117,12,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16
Otu003119,10,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
